10435773+1142129 160.99055 11.70361 233.95192 56.36795 6.820 756 S
12522211-0111588 193.09213 -1.19969 303.42200 61.67111 6.820 1239 N
03401190-1834493 55.04960 -18.58038 209.63625 -50.38375 6.831 1779 N
12353988+1233217 188.91618 12.55604 287.93384 74.96650 6.840 340 N
10481689+1237454 162.07040 12.62930 233.52223 57.75235 6.843 704 N
12420232+1138489 190.50967 11.64693 294.36450 74.36203 6.855 410 N
04120433-3252271 63.01806 -32.87421 233.16843 -46.58406 6.856 1040 N
08332284-2258252 128.34517 -22.97367 245.36055 10.05546 6.860 1693 6
12272655+1106271 186.86066 11.10754 282.38052 73.01462 6.866 916 N
04154522-5535324 63.93843 -55.59236 265.40536 -43.80114 6.876 1202 6
13083752-4930230 197.15636 -49.50641 305.79718 13.26970 6.883 1453 N
00385796+4820145 9.74154 48.33738 120.79182 -14.48241 6.900 -202 N
03385191-3535398 54.71632 -35.59439 236.95525 -53.55476 6.901 1873 6
22075242+3121329 331.96841 31.35915 86.50644 -19.70728 6.910 952 N
00302189-3314432 7.59122 -33.24535 338.30307 -82.37679 6.913 1602 6
14445600+0157170 221.23335 1.95474 354.96588 52.95550 6.913 1724 N
22571068-3627449 344.29453 -36.46248 4.65836 -64.10973 6.923 1713 6
11260858+4335093 171.53577 43.58592 163.66078 66.19115 6.943 770 N
15062956+5545479 226.62317 55.76331 92.03397 52.48921 6.949 672 N
03362759-3458347 54.11496 -34.97630 235.92632 -54.05859 6.958 1855 6
17165947-6249139 259.24780 -62.82055 328.49146 -14.05211 6.973 1109 N
12080601+6510268 182.02507 65.17413 130.18976 51.33921 6.977 1356 N
13560724+0515169 209.03015 5.25474 340.96078 63.24570 6.977 1139 N
12215494+0428249 185.47896 4.47359 284.37125 66.27561 6.979 1566 N
02352772-0921216 38.86555 -9.35601 181.95853 -59.69625 6.990 1550 6
12262708+3113247 186.61293 31.22352 174.53949 83.18197 6.998 716 N
07362384-6931509 114.09934 -69.53082 281.29944 -21.50168 6.999 1466 N
